1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2311.13240_1956207_6	Our work sheds light on whether popular LLMs are well-calibrated and how the training process influences model calibration.
2311.13387_1956354_0	  As training artificial intelligence (AI) models is a lengthy and hence costly process, leakage of such a model's internal parameters is highly undesirable.
2311.13721_1956688_2	To overcome these challenges, this work proposes a hierarchical attention mechanism that builds attention summaries to capture the semantics more effectively and designs contrastive learning objectives to train LLMs to learn assembly optimization.
2311.14126_1957093_4	Our experiments show that training the model in a multi-class setting can outperform the one-vs-all binary counterpart.
2311.14342_1957309_8	After training the AI models, we confirmed the model's learning effectiveness by observing changes in loss and reward values.
2311.14703_1957670_8	Finally, we find that through asking ChatGPT 3.5 to explain its reasoning prior to providing an answer, we are able to improve clinical accuracy and mitigate instances of gender and racial biases.
2311.15377_1958344_0	  Training advanced AI models requires large investments in computational resources, or compute.
2311.16441_1959408_2	This is mainly due to their distinct representation in a semantic space that is different from the natural language (NL) typically used to train LLMs.
2311.16479_1959446_5	These conversations pay more attention on detailed facts in the image, encouraging the model to answer questions based on multi-modal contexts.
2311.16494_1959461_7	3) We propose negative prompting, explicitly enumerating class-agnostic attributes to activate spurious correlations and encourage the model to generate highly orthogonal probability distributions in relation to these negative features.
2311.16639_1959606_1	We ask an LLM where a tweet or a sentence of a political text stands on the focal dimension and take the average of the LLM responses to position political actors such as US Senators, or longer texts such as UK party manifestos or EU policy speeches given in 10 different languages.
2311.16673_1959640_4	Furthermore, the survey presents a comprehensive collection of datasets employed to train LLMs, offering insights into the diverse data available to achieve high performance in various pre-training and downstream tasks of LLMs.
2311.16684_1959651_4	We employ a Time-to-Digital Converter to capture power fluctuations and train a supervised machine learning model to identify various types of threats.
2311.17429_1960396_2	Most of the existing attack methods focus on inserting manually predefined templates as triggers in the pre-training phase to train the victim model and utilize the same triggers in the downstream task to perform inference, which tends to ignore the transferability and stealthiness of the templates.
2311.18063_1961030_4	We trained our model using the same approach for RoBERTa model and evaluated on two text classification tasks: Sentiment Classification and Hate Speech Detection.
2311.18232_1961199_4	However, enabling this requires the community to develop stable and reliable reinforcement learning algorithms that can effectively train LLMs.
2311.18609_1961576_4	We propose to train LLM to generate a postfix expression related to the arithmetic problem and incorporate it with small pretrained models.
2311.18702_1961669_0	  Since the natural language processing (NLP) community started to make large language models (LLMs) act as a critic to evaluate the quality of generated texts, most of the existing works train a critique generation model on the evaluation data labeled by GPT-4's direct prompting.
2311.18751_1961718_5	By balancing data distribution across tasks, we train a new model, HTML-T5++, that surpasses human-level performance (95.2%) on MiniWoB, and achieves the best zero-shot performance on CompWoB (61.5%).
